"","condition","ID","cov_distance","aa","pa","IDnum","ms","d"
"7376","P","18Pv6KGu",6.19223369010273,-0.197803982090623,1.54752627014611,5,653,9.71619701335017
"7417","P","18Pv6KGu",6.19223369010273,-2.25729249944393,1.57079732683937,5,585,10.3874611356907
"7447","P","18Pv6KGu",6.19223369010273,1.31481470297113,1.52425521345285,5,553,8.84439942090393
"7468","P","18Pv6KGu",6.19223369010273,1.04719755099867,1.45444204337308,5,966,8.89751206065231
"7476","P","18Pv6KGu",6.19223369010273,1.04719755099867,1.45444204337308,5,603,7.95587398214716
"7494","P","18Pv6KGu",6.19223369010273,0.116355283268358,1.38462887329331,5,985,8.51971787327139
"7518","P","18Pv6KGu",6.19223369010273,0.19780398169476,1.54752627014611,5,1367,8.45611319577736
"7522","P","18Pv6KGu",6.19223369010273,0.19780398169476,1.54752627014611,5,1001,9.39481690336963
"7537","P","18Pv6KGu",6.19223369010273,0.19780398169476,1.54752627014611,5,622,9.37136482454081
"7579","P","18Pv6KGu",6.19223369010273,-1.58243185533946,1.24500253313376,5,785,10.0626069365997
"7612","P","18Pv6KGu",6.19223369010273,3.01360184157894,1.1402827780141,5,3105,9.80161177186989
"7633","P","18Pv6KGu",6.19223369010273,2.93215314315254,1.61733944022589,5,4372,9.80078620466356
"7635","P","18Pv6KGu",6.19223369010273,2.93215314315254,1.61733944022589,5,5239,10.8436777141524
"7642","P","18Pv6KGu",6.19223369010273,2.93215314315254,1.61733944022589,5,1905,10.308834262532
"7643","P","18Pv6KGu",6.19223369010273,2.93215314315254,1.61733944022589,5,1014,9.80078620466356
"7644","P","18Pv6KGu",6.19223369010273,2.93215314315254,1.61733944022589,5,1235,9.31819644515127
"7646","P","18Pv6KGu",6.19223369010273,2.93215314315254,1.61733944022589,5,2055,8.42437500155649
"7842","P","18Pv6KGu",6.19223369010273,0.965748852572264,1.81514342211858,5,1369,7.83433664062919
"7846","P","18Pv6KGu",6.19223369010273,0.965748852572264,1.81514342211858,5,4638,9.72080515477866
"7848","P","18Pv6KGu",6.19223369010273,0.965748852572264,1.81514342211858,5,2471,10.8195622962064
"7889","W","1kctvF1k",5.60881228134885,-2.04297467831793e-10,1.55932981409462,6,4357,8.72123844416605
"7892","W","1kctvF1k",5.60881228134885,-2.04297467831793e-10,1.55932981409462,6,550,7.47737181106687
"7893","W","1kctvF1k",5.60881228134885,-2.04297467831793e-10,1.55932981409462,6,1768,7.10350322051352
"7951","W","1kctvF1k",5.60881228134885,1.34972128800465,1.13114251297393,6,1166,7.10350322051353
"7988","W","1kctvF1k",5.60881228134885,1.53588974155072,1.64310576022561,6,651,7.10350322051353
"8054","W","1kctvF1k",5.60881228134885,2.62497562090095,1.5872550111089,6,1233,7.10350322051352
"8499","W","1kctvF1k",5.60881228134885,-0.102392507619391,1.95011362186819,6,1234,7.10350322051353
"8502","W","1kctvF1k",5.60881228134885,-0.102392507619391,1.95011362186819,6,517,6.09036607368779
"8505","W","1kctvF1k",5.60881228134885,-0.102392507619391,1.95011362186819,6,750,5.22172761242807
"8506","W","1kctvF1k",5.60881228134885,-0.102392507619391,1.95011362186819,6,1449,4.96064123180666
"8669","W","1kctvF1k",5.60881228134885,0.511963247047358,1.52192632074751,6,734,4.96064123180667
"8743","W","1kctvF1k",5.60881228134885,0.418879020274326,3.14159165358979,6,1900,4.96064123180666
"8812","W","1kctvF1k",5.60881228134885,0.921533986883955,2.21074938581504,6,567,4.96064123180666
"8951","W","1kctvF1k",5.60881228134885,0.921533986883954,1.25198192107044,6,1417,4.96064123180667
"8953","W","1kctvF1k",5.60881228134885,0.921533986883954,1.25198192107044,6,501,4.47697871170552
"8958","W","1kctvF1k",5.60881228134885,0.921533986883954,1.25198192107044,6,1167,5.7858477700034
"9130","W","1kctvF1k",5.60881228134885,1.10770244043001,1.20543980768393,6,2451,5.7858477700034
"9184","W","1kctvF1k",5.60881228134885,1.10770244043001,1.50330904928711,6,834,5.78584777000339
"9187","W","1kctvF1k",5.60881228134885,1.08908516896963,1.52192596565935,6,1502,5.78584777000339
"9221","W","1kctvF1k",5.60881228134885,1.08908516896963,1.52192596565935,6,1901,5.87938806740136
"9281","W","1kctvF1k",5.60881228134885,0.539888088973489,1.88495459210942,6,2333,5.44561408420882
"9282","W","1kctvF1k",5.60881228134885,0.539888088973489,1.88495459210942,6,550,5.16104872705738
"9284","W","1kctvF1k",5.60881228134885,0.539888088973489,1.88495459210942,6,567,4.63543782590599
"9286","W","1kctvF1k",5.60881228134885,0.539888088973489,1.88495459210942,6,868,4.16332990482128
"9704","W","1kctvF1k",5.60881228134885,-1.18217010632759,2.75994611072303,6,518,3.50894747026082
"9760","W","1kctvF1k",5.60881228134885,0.186167743165456,2.55516074080473,6,1050,3.57198955095616
"9950","W","1kctvF1k",5.60881228134885,1.18216939574266,2.02458093226897,6,1052,4.09387288727978
"9963","W","1kctvF1k",5.60881228134885,1.08908516896962,1.68016922219113,6,2967,4.43527552136043
"9964","I","1OotmhlV",5.37363438335312,-2.04297467831793e-10,1.55932981409462,7,2046,8.72123844416605
"9965","I","1OotmhlV",5.37363438335312,-2.04297467831793e-10,1.55932981409462,7,732,8.28517652195775
"9966","I","1OotmhlV",5.37363438335312,-2.04297467831793e-10,1.55932981409462,7,966,7.87091769585986
"9968","I","1OotmhlV",5.37363438335312,-2.04297467831793e-10,1.55932981409462,7,518,7.10350322051352
"10156","I","1OotmhlV",5.37363438335312,-2.44346095299636,1.88512460780023,7,500,7.10350322051352
"10324","I","1OotmhlV",5.37363438335312,2.51327412266753,1.64060849683022,7,985,7.10350322051352
"10450","I","1OotmhlV",5.37363438335312,0.442150076967595,1.5126176850173,7,652,5.7858477700034
"10491","I","1OotmhlV",5.37363438335312,0.442150076967595,1.5126176850173,7,703,6.05206727951063
"10506","I","1OotmhlV",5.37363438335312,0.209439510035018,1.7918703653364,7,1783,5.41752028415241
"10515","I","1OotmhlV",5.37363438335312,0.209439510035018,1.7918703653364,7,783,3.44408097555678
"10541","I","1OotmhlV",5.37363438335312,-0.0232710568975585,1.86168353541617,7,1366,3.10284382173324
"10544","I","1OotmhlV",5.37363438335312,-0.0232710568975585,1.86168353541617,7,1885,2.66044356455963
"10591","I","1OotmhlV",5.37363438335312,-0.0232710568975585,1.86168353541617,7,2417,2.31551247104732
"10592","I","1OotmhlV",5.37363438335312,-0.0232710568975585,1.86168353541617,7,2001,2.27926012424235
"10596","I","1OotmhlV",5.37363438335312,-0.0232710568975585,1.86168353541617,7,549,2.4580266773861
"10600","I","1OotmhlV",5.37363438335312,-0.0232710568975585,1.86168353541617,7,952,2.74412597028802
"10633","I","1OotmhlV",5.37363438335312,-0.151261868710474,2.49000206613413,7,2483,1.88336115540277
"10638","I","1OotmhlV",5.37363438335312,-0.151261868710474,2.49000206613413,7,584,1.64293026766176
"10911","I","1OotmhlV",5.37363438335312,0.255981623421549,2.93215214330602,7,1233,1.80536180217024
"10913","I","1OotmhlV",5.37363438335312,0.255981623421549,2.93215214330602,7,652,1.88347307686812
"10967","I","1OotmhlV",5.37363438335312,1.31481470282533,3.14159165358979,7,533,1.85124630065014
"10970","I","1OotmhlV",5.37363438335312,1.31481470278989,3.14159165358979,7,900,2.03237117938448
"11075","I","1OotmhlV",5.37363438335312,2.38528331093481,3.10668506850546,7,982,2.0998735197748
"11079","I","1OotmhlV",5.37363438335312,2.38528331093481,3.10668506850546,7,1035,2.4904273803066
"11229","I","1OotmhlV",5.37363438335312,1.3613568164572,3.14159165354534,7,3585,2.42069583555692
"11354","I","1OotmhlV",5.37363438335312,-1.15191730642646,2.07112304565549,7,699,1.22574427940291
"11364","I","1OotmhlV",5.37363438335312,-1.15191730642646,2.07112304565549,7,1166,3.3227757556711
"11365","I","1OotmhlV",5.37363438335312,-1.15191730642646,2.07112304565549,7,984,3.0531414837417
"11384","I","1OotmhlV",5.37363438335312,-1.15191730642646,2.57145076456053,7,568,3.05435717257377
"11396","I","1OotmhlV",5.37363438335312,-1.25663706154612,3.06014295511894,7,902,3.85286882874812
"11403","I","1OotmhlV",5.37363438335312,-1.25663706154612,3.06014295511895,7,1250,5.98401140726837
"11410","I","1OotmhlV",5.37363438335312,-1.25663706154612,3.06014295511895,7,665,5.62406863782724
"11507","I","1OotmhlV",5.37363438335312,-0.523598775708501,1.98967434722909,7,1667,5.55585155165159
"11553","I","1OotmhlV",5.37363438335312,-0.174532925309635,1.85004800706955,7,550,6.28430122498193
"11597","I","1OotmhlV",5.37363438335312,-0.174532925309634,1.85004800706955,7,866,6.00267935820157
"11601","I","1OotmhlV",5.37363438335312,-0.174532925309634,1.85004800706955,7,784,4.69860324780715
"11757","I","1OotmhlV",5.37363438335312,2.12930168732288,2.11766515904201,7,600,6.8515051495233
"11781","P","1VkhDMUn",5.91018225528743,-2.04297467831793e-10,1.55932981409462,8,1602,8.72123844416605
"11827","P","1VkhDMUn",5.91018225528743,0.674860643900176,1.64077851252102,8,931,8.72123844416604
"11833","P","1VkhDMUn",5.91018225528743,0.674860643900176,1.64077851252102,8,517,6.41091165651345
"11861","P","1VkhDMUn",5.91018225528743,0.674860643900176,1.64077851252102,8,584,6.43369226643949
"11863","P","1VkhDMUn",5.91018225528743,0.674860643900176,1.64077851252102,8,617,5.81107927404853
"11878","P","1VkhDMUn",5.91018225528743,-0.395607963989679,1.7105916826008,8,868,5.38706026239458
"11894","P","1VkhDMUn",5.91018225528743,-0.174532925403729,2.18764834481258,8,517,5.35497345177108
"11960","P","1VkhDMUn",5.91018225528743,-0.197803982096986,1.37316136054856,8,801,5.55953419679325
"12006","P","1VkhDMUn",5.91018225528743,-1.07046860809415,1.17535737865586,8,684,5.53342700535119
"12081","P","1VkhDMUn",5.91018225528743,2.99033078487932,1.48951664401484,8,1101,7.08949206369529
"12093","P","1VkhDMUn",5.91018225528743,2.62962940613383,1.55932981409462,8,700,7.1542213892304
"12111","P","1VkhDMUn",5.91018225528743,2.15257274392204,1.58260087078787,8,767,7.18500937760957
"12182","P","1VkhDMUn",5.91018225528743,0.13962633995525,1.55932981409462,8,768,6.57018444003919
"12216","P","1VkhDMUn",5.91018225528743,-0.0465421135908097,0.896104698336771,8,617,6.76236005084373
"12265","P","1VkhDMUn",5.91018225528743,1.0471975509923,2.14110623142606,8,584,6.74551729683805
"12297","P","1VkhDMUn",5.91018225528743,0.25598162342154,1.82694696606708,8,1518,6.53437328496141
"12317","P","1VkhDMUn",5.91018225528743,1.02392649429905,1.93166672118674,8,667,6.81379990036498
"12392","P","1VkhDMUn",5.91018225528743,2.42018989589451,1.60587192748113,8,700,7.16760045356767
"12462","P","1VkhDMUn",5.91018225528743,-0.767944871081799,1.95493777788,8,617,6.23381888433159
"12476","P","1VkhDMUn",5.91018225528743,-1.02392649470763,2.28073257158561,8,851,6.20978543626115
"12500","P","1VkhDMUn",5.91018225528743,-1.23336600494695,1.78040485268056,8,617,6.27960790531939
"12568","P","1VkhDMUn",5.91018225528743,2.89724655810629,1.64077851252102,8,534,7.06925133612324
"12625","P","1VkhDMUn",5.91018225528743,-0.151261868710468,1.64077851252102,8,551,6.43816109509014
"12654","P","1VkhDMUn",5.91018225528743,-0.581776417535737,1.68732062590753,8,20081,6.3167575866705
"12689","P","1VkhDMUn",5.91018225528743,-1.39626340179976,2.14110623142606,8,617,6.24788122809355
"12813","P","1VkhDMUn",5.91018225528743,-2.65290046324491,2.54817970786727,8,568,7.65032047299486
"12836","P","1VkhDMUn",5.91018225528743,-2.37364778292582,3.10668506850547,8,834,6.10045538305417
"12841","P","1VkhDMUn",5.91018225528743,-2.37364778292582,3.10668506850547,8,634,7.97112260920679
"12948","P","1VkhDMUn",5.91018225528743,-0.989019909676981,0.88429915429935,8,634,5.39250141435072
"13064","P","1VkhDMUn",5.91018225528743,1.36135681634205,1.60570191179034,8,618,4.47907495870906
"13111","P","1VkhDMUn",5.91018225528743,3.08341501164312,1.69878613856337,8,1167,4.26658748752017
"13158","P","1VkhDMUn",5.91018225528743,-0.430514549038798,1.55915979840383,8,1267,4.85009283137643
"13162","P","1VkhDMUn",5.91018225528743,-0.430514549038798,1.55915979840383,8,534,5.86401525519741
"13244","P","1VkhDMUn",5.91018225528743,-0.488692190771942,1.45444004328417,8,817,5.87425061584092
"13285","P","1VkhDMUn",5.91018225528743,1.53588974154148,1.52425321336394,8,1101,7.9437479831707
"13358","P","1VkhDMUn",5.91018225528743,-0.93084226794384,1.22172947635159,8,533,6.96063968832783
"13393","I","1YYqrfoY",6.07586855598928,-2.04297467831793e-10,1.55932981409462,9,2343,8.72123844416605
"13441","I","1YYqrfoY",6.07586855598928,1.4583196709359,1.58260087078788,9,1133,8.72123844416604
"13494","I","1YYqrfoY",6.07586855598928,1.4583196709359,1.58260087078788,9,717,8.72696552965629
"13589","I","1YYqrfoY",6.07586855598928,2.62187250559879,0.256150639272189,9,683,8.99561251829621
"13849","I","1YYqrfoY",6.07586855598928,1.20233769222213,1.96252701790128,9,2234,8.63483765442079
"13851","I","1YYqrfoY",6.07586855598928,1.20233769222213,1.96252701790128,9,633,7.7850959231001
"13853","I","1YYqrfoY",6.07586855598928,1.20233769222213,1.96252701790128,9,1035,7.01832442219029
"13855","I","1YYqrfoY",6.07586855598928,1.20233769222213,1.96252701790128,9,517,7.7850959231001
"13856","I","1YYqrfoY",6.07586855598928,1.20233769222213,1.96252701790128,9,800,8.19905766659093
"13961","I","1YYqrfoY",6.07586855598928,-0.690374445378641,1.57467595465093,9,618,8.36242660337695
"14036","I","1YYqrfoY",6.07586855598928,-2.56757313699748,1.41953545833317,9,500,8.26643396343841
"14107","I","1YYqrfoY",6.07586855598928,-1.70654403934694,1.77635856435521,9,533,8.22354446165108
"14168","I","1YYqrfoY",6.07586855598928,-2.90888173177316,1.675517081959,9,633,8.1740839750027
"14216","I","1YYqrfoY",6.07586855598928,2.20299348512035,1.83065757827677,9,1001,8.1564103327145
"14309","I","1YYqrfoY",6.07586855598928,-0.224953666601639,1.79962962104847,9,818,8.30831705610323
